Organization,Services,Link,Social,Description
CLUE Justice LA, Fondo para fianzas de Imigrantes detenidos ,https://www.cluejustice.org/detained-immigrant-bond-fund/,@cluejustice,El Fondo para Fianzas de Inmigrantes Detenidos de CLUE proporciona apoyo financiero para ayudar a garantizar la liberación de miembros de la comunidad detenidos en centros de detención de inmigrantes.
,Recaudacion de Fondos para una Familia ,https://www.gofundme.com/f/urgent-aid-for-families-of-14-detained-members,,"«Ayuda urgente para las familias de Los Ángeles de 14 personas detenidas por ICE - Estimada comunidad: estamos conmocionados por las recientes detenciones de catorce de nuestros queridos padres, hijos, hermanos y tíos: Tomás, Juan Fernando, José Paulino, Jacob, Miguel, Óscar, Uriel, Lázaro, Felimón, Ismael, Reynaldo, Luiz, Mario y Jorge. Sus edades oscilan entre los 24 y los 56 años. Lo que era un día normal de trabajo para ellos se convirtió en una pesadilla cuando ICE irrumpió en el almacén Ambiance, en el centro de Los Ángeles, y llevó a cabo detenciones masivas ilegales en las que nuestros familiares fueron injustamente arrestados y secuestrados. En nuestro momento de mayor necesidad, recurrimos a nuestra familia y comunidad elegidas en busca de apoyo, ya que nuestra familia se enfrenta a una necesidad urgente de ayuda económica. El secuestro de 14 de nuestros seres queridos de un solo golpe deja a quince familias con niños pequeños y ancianos que dependen de sus cuidados sin sus principales fuentes de ingresos, lo que agrava las dificultades existentes para llegar a fin de mes. Lamentablemente, uno de nuestros catorce se encuentra ahora en San Isidro (seguiremos luchando por su regreso) y estamos buscando representación legal para los demás, que esperamos que puedan ser puestos en libertad bajo fianza pronto. ¡Prevemos que la fianza se fije entre 1500 y 5000 dólares por persona! Mientras les apoyamos en este proceso, sus familias se quedan sin su principal fuente de ingresos y necesitan ayuda económica para los gastos diarios de cuidado de los niños, comida y facturas mientras están detenidos. El organizador de esta recaudación de fondos está directamente relacionado con tres de las catorce familias, pero todas forman parte de la comunidad zapoteca en general y han autorizado al organizador a recaudar y distribuir los fondos bajo su supervisión. Los fondos se destinarán a las necesidades materiales inmediatas de las familias, que incluyen el pago del alquiler, la compra de alimentos, medicamentos, gastos de transporte, cuidado de los niños, leche maternizada, pañales y similares, dependiendo de las necesidades de cada hogar. Agradecemos cualquier cantidad que nos sea de gran ayuda en estos momentos. Para obtener más información diaria y conocer las formas de apoyar, siga a @LuchaZapoteca en Instagram. Con gratitud y solidaridad, La comunidad zapoteca»."
"Garment Worker Center
Car Washers
IDESPCA
NDLON
Union Del Barrio", Recaudacion de fondos para costos legals y Fianzas de detenidos,https://www.instagram.com/p/DKsKUfKS5h7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,Apoyo a los centros de trabajadores afectados
Raíces Con Voz Boyle Heights,Entrega de comida y otros essencials,https://www.instagram.com/p/DKoCk8DuUYT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@raicesconvozph,"✊🏾Espacios confidenciales y seguros para nuestra comunidad. Sabemos que muchos miembros de nuestra comunidad están enfrentando miedo, aislamiento e incertidumbre. Raíces con Voz está ofreciendo un espacio tranquilo, cuidadoso y lleno de amor. Si necesitas apoyo, envíanos un mensaje directo. Respetamos tu privacidad."
Ktown For All,Recaudacion para fondos para vendedores ambujlantes de Koreatown para que puedan quedar se en casa. ,https://www.instagram.com/p/DKxs-a3BuV5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@ktownforall ,"Los vendedores inmigrantes hacen de Ktown el mejor lugar para comer en Los Ángeles, pero ahora se ven amenazados por la campaña de terror racista de ICE. ¡Ayúdanos a ayudar a nuestra comunidad! Compraremos los puestos de nuestros vendedores inmigrantes para que puedan permitirse quedarse a salvo en casa y proporcionar a nuestros vecinos sin hogar comida fresca, abundante y deliciosa. Nadie debería tener que arriesgarse a ser secuestrado solo para mantener a su familia. Dona a través de Venmo a AndreinaKniss y nosotros nos encargaremos del resto. 🫡💜❤️"
Carwasherxs,"Carwash Worker Solidarity Fund:
Rent, Utility, Food Assistance/ fondo solidario para trabajadores de lava caros para Renta gasto de comida y utilidades ",https://cleancarwash.ourpowerbase.net/civicrm/contribute/transact?id=1&reset=1,@carwasherxs ,"Due to the ongoing California storms, many carwash workers struggle to make ends meet because they've been out of work for several days. Workers have a hard time being able to pay rent, utilities, groceries, and even their phone bills. Please consider donating to our Solidarity Fund to help workers in need.

Debido a las continuas tormentas de California, muchos trabajadores de lavado de autos estan sufriendo economicamente porque han estado sin trabajo durante varios días.Los trabajadores tienen dificultades para pagar la renta, los servicios públicos, comida e incluso las facturas telefónicas. Considere donar a nuestro Fondo de Solidaridad para ayudar a los trabajadores necesitados. ¡El enlace está en nuestra biografía!"
Mutual Aid Network,Distribucion de comida ,https://www.instagram.com/reel/DLUEPGdOK6t/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@mutualaidnetwork,¡Ven y echa una mano (y algunos ojos) en PITP todos los jueves! ☺️🥕😊🥬
Legal Defense Fund,Recaudacion de Fondos para  costos leagales ,https://powerinnumbers.us/resources/contribute-to-the-emergency-worker-legal-defense-fund/,@opinorg,"Por favor, haz una donación para ayudar a los trabajadores a obtener fondos legales para luchar contra sus casos de deportación. Nos mantienen a salvo."
La Puente Drop Basket,ayuda para comida ,https://www.instagram.com/p/DKxu-YLp5fv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@lpmutualaid,"@lpmutualaid lanza La Puente's Drop Basket, un proyecto comunitario de emergencia para entregar artículos de primera necesidad con privacidad y cuidado. No es necesario proporcionar nombres ni direcciones. Envíenos un correo electrónico a: lapuentesdropbasket@proton.me Utilice un nombre en clave e indíquenos su barrio, un lugar seguro para la entrega y lo que necesita. También puede enviarnos un mensaje directo. La primera entrega es siempre gratuita. Si puede devolver el favor más adelante, estupendo. Si no, no pasa nada. Si desea colaborar, aceptamos donaciones a través de Venmo en @lpmutualaid."
Aqui Para La Comunidad,ayuda para comida ,https://linktr.ee/AquiParaLaComunidad?fbclid=PAZXh0bgNhZW0CMTEAAadwcbdl4RqtT3vQbyshifWXQjNp5uugr08-r_VhdXjwrXWU9wkdlIpRWnAI2A_aem_xyn4TIuR1gqbPSRmDymJiA,@Aquiparalacomunidad,
