Source Name,Link,Area,Identification,Enforcement Agencies,Practice,Description
lataco,https://www.instagram.com/reel/DKsa5w3zdEq/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,LA County,video,"CBP
ICE",ICE Staging,La CBP y el ICE utilizan el edificio de aduanas situado en La Cienega y la calle 111 como zona de operaciones.
Quadzilla Hikes,"https://www.ice.gov/identify-and-arrest/287g

https://www.instagram.com/reel/DJ7m4qOsNaa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",USA,ICE website,ICE etc.,Legalization of warrantless arrests by ICE and ICE-contracted agents,Legalización de las detenciones sin orden judicial por parte del ICE y los agentes contratados por el ICE.
lataco,https://www.instagram.com/reel/DKyEC-FJxR8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,USA,,ICE,Observed ICE tactics so far,@theglutster analiza las tácticas de ICE que hemos estado observando últimamente.
uniondelbarrio,https://www.instagram.com/uniondelbarrio/,LA County,,,ICE Raid Reporting,Actualizaciones a través de historias sobre avistamientos de ICE.
LA Public Press,https://www.instagram.com/p/DKz3mccsAOM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,LA County,,,ICE Staging,"La policía de Los Ángeles (LAPD) desplegará aproximadamente 300 vehículos en Exposition Park a partir de hoy, según correos electrónicos internos obtenidos por LA Public Press. El Museo de Historia Natural notificó al personal que la LAPD utilizará los estacionamientos rosa y amarillo del parque «para estacionar vehículos y registrar a su personal» hasta principios de la próxima semana, según un mensaje de la administración de Exposition Park. El correo electrónico del museo a los empleados reconocía que «la presencia visible puede suscitar preguntas o inquietudes» y recordaba al personal que «el LAPD tiene prohibido participar en actividades de control de la inmigración». Dos oficiales de información pública del LAPD nos dijeron que no tenían información sobre la operación. Uno de ellos señaló que «eso no significa que no se vaya a llevar a cabo», sino que aún no han recibido ninguna información al respecto. En las comunicaciones no se especificó la naturaleza de la operación que requiere más de 300 vehículos policiales. El Exposition Park alberga el California Science Center y el Museo de Historia Natural, y se encuentra junto a la USC. El parque está gestionado por el estado de California."
carwasherxs,https://www.instagram.com/p/DKs_VYipjri/?utm_source=ig_web_copy_link,LA County,,,ICE Raid Reporting,Confirmación de redadas en instalaciones de lavado de coches
mutualaidnetwork,https://www.instagram.com/p/DLX_-3ISy7g/?img_index=1,LA County,,,ICE Raid Reporting,weekly raid reports
ACLU Northern California,https://www.aclunc.org/CA_database?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExbUpqVnU0bk9XaEFNMFJiUAEeByokI3tyOSi09shKu4vW1tLyCFM1ovmuLTQ-5obAqdlOgy6lhAfH7x0S6L8_aem_Msv1TfjURHnNkEFu5IR7bA,CA,Immigration Detention Centers,ICE,Detention Center Grievance Tracking,Informes semanales de incursiones
Caló News,https://www.instagram.com/p/DLc7zL0phhI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Huntington Park,Border Patrol,HPPD,Arresting ICE Allied Agency Impersonators,"El martes por la noche, la policía de Huntington Park detuvo a un hombre que se hacía pasar por agente de la Patrulla Fronteriza, lo que inmediatamente suscitó preocupación, ya que muchas personas han señalado que algunas personas que se hacen pasar por agentes de inmigración son en realidad cazarrecompensas y suplantadores de agencias federales. Un día después, la ciudad de Huntington Park aprobó por unanimidad una resolución para verificar la identidad de los agentes federales cuando operan en la comunidad."
404,https://www.404media.co/ice-is-using-a-new-facial-recognition-app-to-identify-people-leaked-emails-show/,USA,ICE,ICE,Facial Recognition Mobile App,"ICE está utilizando una nueva aplicación de reconocimiento facial para identificar a personas, según revelan correos electrónicos filtrados."
Union del Barrio,https://www.instagram.com/p/DL0PI1RBdVc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,MacArthur Park LA,,"NG, ICE, LAPD",,Convocatoria para manifestarse contra el despliegue
