Name,When & For Who?,website,Office Phone # or email,Address,Area,Organization Mission,
Coalición Interior por la Justicia para los Inmigrantes,Ayuda legal,https://ic4ij.org/,(909)474-9996,"2441 N Sierra Way, San Bernardino, CA 92405",Inland Empire,"Nuestra coalición se dedica a la promoción de políticas, la organización y educación de la comunidad, y la respuesta rápida a las operaciones del ICE y la patrulla fronteriza.",
Immigration Defenders Law Center/defensores de immigracion,Ayuda legal,https://www.immdef.org/,213-634-0999,"634 S. Spring St. 10th Fl., LA",Los Angeles,"Our team provides full-scale deportation defense, legal representation, legal education, and social services to approximately 30,151 detained and non-detained children and adults annually.",
Centro de Servicios comunitarios de San Bernadino,Ayuda legal,https://www.sbcscinc.org/,(909) 885-1992,"788 N Arrowhead Ave, San Bernardino, CA 92401",Inland Empire,"Nuestro equipo ofrece defensa integral contra la deportación, representación legal, educación jurídica y servicios sociales a aproximadamente 30 151 niños y adultos detenidos y no detenidos cada año.",
Centro de Recursos de Centroamérica,Ayuda legal,https://www.carecen-la.org/about_us,213-385-7800,"2845 W 7th St, LA",Los Angeles,"Desde su fundación en 1983, cuando miles de centroamericanos huyeron de la brutalidad de la guerra civil, CARECEN ha trabajado para cambiar un sistema migratorio injusto, conseguir estatus legal para los inmigrantes y fomentar el activismo comunitario en temas como la reforma educativa, los derechos de los trabajadores y los inmigrantes, la justicia económica y el fortalecimiento de la comunidad.",
Red de Defensores de la Inmigración,Ayuda legal,https://www.immigrationadvocates.org/nonprofit/legaldirectory/,,,,"Bienvenido al Directorio Nacional de Servicios Legales de Inmigración. Utilice las opciones que aparecen a continuación para buscar proveedores de servicios legales de inmigración por estado, condado o centro de detención. En este directorio solo se incluyen organizaciones sin ánimo de lucro que ofrecen servicios legales de inmigración gratuitos o a bajo coste.",
Guia para cambiar Audienca de imigracion de en persona para Audienca por inernet.  , Durante el proceseo de Nacionalizacion y Proceso de Asilo,https://nipnlg.org/sites/default/files/2025-06/pro-se-web.pdf,(617) 227-9727,"1763 Columbia Road NW, Suite 175 #896645, Washington, DC 20009",USA,"Somos una organización integrada por abogados, defensores y miembros de la comunidad que nos guiamos por la convicción de que todas las personas deben ser tratadas con dignidad, vivir libremente y prosperar.",
Como chequiar si tienes un orden de Eliminacion, Durante el proceseo de Nacionalizacion y Proceso de Asilo,"https://acis.eoir.justice.gov/en/

https://www.instagram.com/reel/DJDdl5rtpwQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",,,,Informes de personas detenidas durante sus entrevistas para obtener la tarjeta de residencia debido a órdenes de expulsión dictadas en sus casos sin notificación previa.,
Documentos que debe cargar si esta preocupado de Eliminacion Aceleradal,Durante el proceseo de Nacionalizacion y Proceso de Asilo,https://www.instagram.com/reel/DKfgUNiuo3v/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,La información proporcionada tiene fines educativos e informativos generales únicamente y no constituye asesoramiento jurídico.,
Guia de Abogados para como encontrar una persona detinida,Durante Detencion,https://www.instagram.com/reel/DIzx6w7tC3L/?igsh=NTc4MTIwNjQ2YQ==,(213) 250-2200,,,Alma Rosa Nieto es una abogada especializada en inmigración que publicó esto en Instagram (solo en español).,Note to translator - this would be great to watch and pull out the resources she mentions and add them separately to the sheet on their own lines so people don't have to watch the video
Guia de abogados para que hacer si esta detinido,Durante Detencion,https://www.instagram.com/reel/DKpzhDGSU--/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,,,,
