Organization,Services,Link,Social,Description
Clue Justice LA,DETAINED IMMIGRANT BOND FUND,https://www.cluejustice.org/detained-immigrant-bond-fund/,@cluejustice,CLUE’s Detained Immigrant Bond Fund provides financial support to help secure the release of detained community members from immigration detention.
,Family Fundraiser,https://www.gofundme.com/f/urgent-aid-for-families-of-14-detained-members,,"Urgent Aid for LA Families of 14 Detained by ICE - Dear Community, we are reeling from the recent arrests of fourteen of our beloved fathers, sons, brothers, uncles: Tomas, Juan Fernando, Jose Paulino, Jacob, Miguel, Oscar, Uriel, Lazaro, Felimon, Ismael, Reynaldo, Luiz, Mario, and Jorge. Ranging in ages from 24 to 56.

What was a normal workday for them became a nightmare when ICE raided the Ambiance warehouse in Downtown LA and enacted illegal mass collateral arrests where our relatives were unjustly arrested and kidnapped.

In our most dire moment of need, we turn to our chosen family and community for support as our family is facing urgent need for financial support. The kidnapping of 14 of our loved ones in one swoop is leaving fifteen families with young children, elders who rely on their caretaking, without their primary breadwinners and exacerbating existing struggles to make ends meet.

Sadly one of our fourteen are now in San Isidro (we will still fight for their return), and are now securing legal representation for the others who we hope can be released on bond soon. We anticipate bond to be set between $1,500-$5K per person!! While we support them through this process, their families are left without their primary breadwinner and need financial support for daily childcare, food and bill expenses while they are detained.

The organizer of this fundraiser is directly related to three of the 14 families, but all are part of the broader Zapotec community and have authorized the organizer to gather and distribute funds under their guidance.


The funds will go towards immediate material needs of families, which include paying rent, securing groceries, medications, transportation costs, childcare, baby formula, diapers, and the like, depending on the needs of each individual household.

We are thankful for any amount that will go a long way for us right now. For more daily updates and ways to support please follow @LuchaZapoteca on instagram.

With gratitude and solidarity,

The Zapotec Community"
"Garment Worker Center, 
Car Washers, 
IDESPCA, 
NDLON, 
Union Del Barrio",Detainee Fundraiser for legal fees and bonds,https://www.instagram.com/p/DKsKUfKS5h7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,Support for impacted worker centers
Raíces Con Voz Boyle Heights,Groceries and Essentials Dropoff,https://www.instagram.com/p/DKoCk8DuUYT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@raicesconvozph,"✊🏾Confidential & Secure Spaces for Our Community. We know many in our community are facing fear, isolation, and uncertainty. Raíces con Voz is holding space quietly, carefully, and with love.If you are looking for support 📩 DM us. Privacy is respected."
Ktown For All,Fundraiser to help Ktown vendors stay safe @ home,https://www.instagram.com/p/DKxs-a3BuV5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@ktownforall ,"Immigrant vendors make Ktown the best place to eat in LA, but now they’re under threat from ICE’s racist terror campaign. Help us help our community! We’ll buy out our immigrant vendors so they can afford to stay safe at home, and provide our unhoused neighbors with fresh, filling, delicious food. No one should have to risk getting kidnapped just to provide for their families. Donate via Venmo to AndreinaKniss and we’ll take care of the rest. 🫡💜❤️"
Carwasherxs,"Carwash Worker Solidarity Fund:
Rent, Utility, Food Assistance",https://cleancarwash.ourpowerbase.net/civicrm/contribute/transact?id=1&reset=1,@carwasherxs ,"Due to the ongoing California storms, many carwash workers struggle to make ends meet because they've been out of work for several days. Workers have a hard time being able to pay rent, utilities, groceries, and even their phone bills. Please consider donating to our Solidarity Fund to help workers in need.

Debido a las continuas tormentas de California, muchos trabajadores de lavado de autos estan sufriendo economicamente porque han estado sin trabajo durante varios días.Los trabajadores tienen dificultades para pagar la renta, los servicios públicos, comida e incluso las facturas telefónicas. Considere donar a nuestro Fondo de Solidaridad para ayudar a los trabajadores necesitados. ¡El enlace está en nuestra biografía!"
Mutual Aid Network,Food Distribution,https://www.instagram.com/reel/DLUEPGdOK6t/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@mutualaidnetwork,Come on out and lend a hand (and some eyes) at PITP every Thursday ☺️🥕😊🥬
Legal Defense Fund,legal aid fundraising,https://powerinnumbers.us/resources/contribute-to-the-emergency-worker-legal-defense-fund/,@opinorg,Please make a donation to help workers get legal funds to fight their deportation cases. We keep us safe.
La Puente Drop Basket,Food Aid,https://www.instagram.com/p/DKxu-YLp5fv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,@lpmutualaid,"@lpmutualaid is launching La Puente’s Drop Basket, an emergency community project to deliver essentials with privacy and care. No names or addresses needed. Email us at: lapuentesdropbasket@proton.me Use a code name and tell us your neighborhood, a safe drop spot, and what you need. You can also DM us. First delivery is always free. If you can pay it forward later, great. If not, it’s all good. If you want to support, we are asking for donations via Venmo at @lpmutualaid"
Aqui Para La Comunidad,Food Aid,https://linktr.ee/AquiParaLaComunidad?fbclid=PAZXh0bgNhZW0CMTEAAadwcbdl4RqtT3vQbyshifWXQjNp5uugr08-r_VhdXjwrXWU9wkdlIpRWnAI2A_aem_xyn4TIuR1gqbPSRmDymJiA,@Aquiparalacomunidad,
